SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
1018GS2026,116.19,116.29,116.1,High
182D010623,99.7,99.7,99.7,High
182D080623,99.5,99.5,99.5,High
182D161123,96.6,96.6,96.6,High
182D250523,99.03,99.03,99.03,High
182D261023,96.75,96.78,96.72,High
20MICRONS,83.6,83.62,83.58,High
21STCENMGM,18.37,18.3,18.43,High
360ONE,403.47,403.55,403.38,High
364D040424,94.31,94.31,94.31,High
364D110424,93.63,93.6,93.67,High
364D161123,96.5,96.5,96.5,High
3IINFOLTD,32.02,32.0,32.03,High
3MINDIA,23751.97,23672.0,23831.93,Low
3PLAND,22.92,23.02,22.81,High
4THDIM,23.43,23.45,23.42,High
574GS2026,96.5,96.5,96.5,High
5PAISA,313.5,313.52,313.48,High
63MOONS,167.13,167.82,166.44,Low
654GS2032,98.57,98.45,98.68,High
667GS2050,98.44,98.44,98.44,High
669GS2024,102.63,102.45,102.82,Low
676GS2061,97.5,97.5,97.5,High
689GS2025,101.0,101.0,101.0,High
695GS2061,101.5,101.5,101.5,High
699GS2026,101.0,101.0,101.0,High
699GS2051,101.38,102.06,100.7,Low
706GS2028,101.75,101.75,101.75,High
710GS2029,101.82,101.75,101.88,High
717GS2030,101.67,101.5,101.83,Low
719GS2060,98.0,98.0,98.0,High
726GS2032,103.38,103.32,103.44,High
726GS2033,104.14,104.14,104.14,High
736GS2052,103.8,103.73,103.86,High
738GS2027,104.79,104.78,104.8,High
741GS2036,106.13,106.1,106.16,High
74GS2062,104.98,105.3,104.67,Low
754GS2036,107.75,107.74,107.75,High
759GS2026,102.23,102.23,102.23,High
75GS2034,105.4,105.4,105.4,High
763KA42,97.5,97.5,97.5,High
775AP29,98.0,98.0,98.0,High
91D100823,98.2,98.2,98.2,High
91D130723,98.8,98.8,98.8,High
91D170823,98.4,98.4,98.4,High
91D230623,99.65,99.65,99.65,High
91D250523,99.63,99.6,99.67,High
92GS2030,114.19,114.16,114.22,High
A2ZINFRA,6.83,6.8,6.87,High
AAATECH,62.32,63.33,61.31,Low
AAKASH,6.48,6.5,6.47,High
AAREYDRUGS,28.2,28.3,28.1,High
AARON,227.55,230.12,224.97,Low
AARTIDRUGS,462.15,463.5,460.8,Low
AARTIIND,494.17,493.9,494.43,Low
AARTIPHARM,352.05,351.8,352.3,Low
AARTIPP,290.37,290.48,290.26,High
AARTISURF,623.37,626.08,620.66,Low
AARTISURF,118.27,114.8,121.73,Low
AARVEEDEN,20.87,20.83,20.91,High
AARVI,127.15,126.42,127.87,Low
AAVAS,1392.9,1393.1,1392.7,Low
ABAN,38.57,38.6,38.53,High
ABB,3888.45,3885.3,3891.6,Low
ABBOTINDIA,20865.03,20848.32,20881.74,Low
ABCAPITAL,162.35,161.57,163.12,Low
ABCOTS,47.07,47.1,47.03,High
ABFRL,191.43,191.72,191.14,Low
ABMINTLLTD,50.67,50.65,50.68,High
ABSLAMC,349.12,349.27,348.96,Low
ABSLBANETF,44.13,44.18,44.08,High
ABSLLIQUID,1000.01,1000.01,1000.01,High
ABSLNN50ET,41.6,41.52,41.69,High
ACC,1725.13,1723.17,1727.09,Low
