CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKIDEA29-JUN-2023,7.4500000,7.4500000,7.5500000,7.2500000,7.3500000,7.3500000,-1.3400000,7005.0000000,88760000.0000000,1268.0000000,655669000.0000000
FUTSTKABFRL27-JUL-2023,204.2500000,204.8500000,204.9500000,200.3500000,201.2000000,201.2000000,-1.4900000,754.0000000,387400.0000000,149.0000000,78450190.0000000
FUTSTKBAJAJ-AUTO29-JUN-2023,4800.4500000,4801.2500000,4819.3500000,4751.1000000,4758.4500000,4758.4500000,-0.8700000,10166.0000000,505000.0000000,2020.0000000,2413231600.0000000
FUTSTKSBIN29-JUN-2023,591.3500000,590.7000000,591.3500000,579.4000000,581.8000000,581.8000000,-1.6100000,41869.0000000,25543500.0000000,17029.0000000,14910971100.0000000
FUTSTKFEDERALBNK27-JUL-2023,126.9000000,126.2500000,126.8000000,125.5500000,125.7000000,125.7000000,-0.9400000,1799.0000000,1650000.0000000,330.0000000,208012500.0000000
FUTSTKHDFCBANK29-JUN-2023,1619.0000000,1620.0000000,1624.4500000,1613.7500000,1617.4500000,1617.4500000,-0.0900000,144056.0000000,11308550.0000000,20561.0000000,18324342712.5000000
FUTSTKGODREJCP29-JUN-2023,1061.0500000,1058.2000000,1063.0500000,1032.7500000,1040.4500000,1040.4500000,-1.9400000,5938.0000000,1423000.0000000,1423.0000000,1488758050.0000000
FUTSTKABBOTINDIA29-JUN-2023,21722.4000000,21731.9500000,21917.3000000,21519.1500000,21837.8000000,21837.8000000,0.5300000,1633.0000000,16000.0000000,400.0000000,347865434.0000000
FUTSTKIPCALAB29-JUN-2023,739.3500000,736.0500000,742.9000000,730.0000000,731.4500000,731.4500000,-1.0600000,5060.0000000,739050.0000000,1137.0000000,543180495.0000000
FUTSTKBEL29-JUN-2023,117.9000000,118.2000000,121.9500000,117.1000000,120.8000000,120.8000000,2.4500000,12915.0000000,32039700.0000000,5621.0000000,3846531000.0000000
FUTSTKNESTLEIND27-JUL-2023,22405.0500000,22450.0000000,22490.0000000,22294.5500000,22327.0000000,22327.0000000,-0.3400000,145.0000000,1320.0000000,33.0000000,29495086.0000000
FUTSTKL&TFH27-JUL-2023,105.1500000,104.8500000,106.3500000,104.4000000,105.0500000,105.0500000,-0.0900000,486.0000000,1775876.0000000,199.0000000,187044809.0000000
FUTSTKPFC29-JUN-2023,197.5000000,198.6500000,200.1000000,196.2500000,199.8000000,199.8000000,1.1600000,10188.0000000,17329000.0000000,2795.0000000,3445471750.0000000
FUTSTKPFC27-JUL-2023,198.3500000,198.1000000,200.6000000,197.3000000,200.4500000,200.4500000,1.0500000,255.0000000,1258600.0000000,203.0000000,251290650.0000000
FUTSTKTATASTEEL29-JUN-2023,111.8000000,112.2000000,112.2500000,109.0500000,109.3000000,109.3000000,-2.2300000,41783.0000000,46216500.0000000,8403.0000000,5082488675.0000000
FUTSTKBERGEPAINT27-JUL-2023,645.3500000,653.0000000,661.2000000,643.3000000,643.7000000,643.7000000,-0.2500000,680.0000000,145200.0000000,132.0000000,94543405.0000000
FUTSTKZYDUSLIFE29-JUN-2023,514.7000000,516.0000000,518.0500000,508.5500000,509.8500000,509.8500000,-0.9400000,3783.0000000,1186200.0000000,659.0000000,607642380.0000000
FUTSTKABCAPITAL29-JUN-2023,172.5500000,172.5500000,176.2500000,172.1500000,174.9500000,174.9500000,1.3900000,5277.0000000,8289000.0000000,1535.0000000,1447959240.0000000
FUTSTKADANIPORTS29-JUN-2023,741.0500000,741.0500000,745.6500000,734.8500000,737.8000000,737.8000000,-0.4300000,53709.0000000,2491875.0000000,3987.0000000,1843872625.0000000
